Age,Population,Deaths,mx,qx,lx,dx,Lx,Tx,ex
0,100248,359,0.003581118825313223,0.003568340175136919,100000,356.8340175136919,99678.84938423768,8283715.210331339,82.84
1,96491,21,2.1763687805080267e-4,2.1761319772231518e-4,99643.1659824863,21.68366798062426,99632.324148496,8184036.360947101,82.13
2,93563,12,1.2825582762416768e-4,1.2824760337291197e-4,99621.48231450569,12.77621635129229,99615.09420633005,8084404.036798606,81.15
3,90793,8,8.811251968764112e-5,8.810863795059309e-5,99608.70609815439,8.77638742232932,99604.31790444322,7984788.942592275,80.16
4,86818,6,6.911009237715681e-5,6.910770435724075e-5,99599.92971073206,6.88312249645123,99596.48814948383,7885184.624687832,79.17
5,83828,5,5.96459416901274e-5,5.964416292399544e-5,99593.04658823561,5.940143896805793,99590.0765162872,7785588.136538348,78.17
6,81848,5,6.10888476199785e-5,6.108698175331855e-5,99587.1064443388,6.083475754231117,99584.06470646168,7685998.060022061,77.18
7,78654,4,5.0855646248124696e-5,5.085435313262815e-5,99581.02296858457,5.064128507352755,99578.49090433089,7586413.995315599,76.18
8,75343,4,5.309053263076862e-5,5.3089123365850426e-5,99575.95884007722,5.286400363133704,99573.31563989565,7486835.504411268,75.19
9,73250,4,5.460750853242321e-5,5.460601758313766e-5,99570.67243971408,5.437157890007867,99567.95386076908,7387262.188771373,74.19
10,70237,4,5.695004057690391e-5,5.6948418969518364e-5,99565.23528182408,5.670082733627989,99562.40024045727,7287694.234910604,73.2
11,67812,4,5.898661003952103e-5,5.898487038074734e-5,99559.56519909044,5.872508048431913,99556.62894506623,7188131.834670146,72.2
12,65825,4,6.0767185719711355e-5,6.07653394503775e-5,99553.69269104202,6.049413929909734,99550.66798407707,7088575.205725079,71.2
13,62488,6,9.601843553962361e-5,9.601382599094271e-5,99547.6432771121,9.557950099417079,99542.8643020624,6989024.537741003,70.21
14,60400,5,8.278145695364238e-5,8.27780307106494e-5,99538.0853270127,8.239566684078698,99533.96554367067,6889481.67343894,69.21
15,58874,7,1.1889798552841662e-4,1.188909175831175e-4,99529.84576032862,11.833194689351627,99523.92916298396,6789947.70789527,68.22
16,56614,6,1.0598085279259548e-4,1.0597523711959305e-4,99518.01256563928,10.546444979314263,99512.73934314962,6690423.778732286,67.23
17,55313,8,1.44631460958545e-4,1.4462100258510042e-4,99507.46612065996,14.390869515072756,99500.27068590242,6590911.039389136,66.24
18,52805,9,1.7043840545402896e-4,1.704238820666736e-4,99493.07525114488,16.955996123051797,99484.59725308335,6491410.768703233,65.24
19,50721,9,1.7744129650440645e-4,1.7742555519413312e-4,99476.11925502183,17.649605687380042,99467.29445217813,6391926.17145015,64.26
20,50391,11,2.1829294913774285e-4,2.1826912583215106e-4,99458.46964933444,21.708713226963756,99447.61529272096,6292458.876997972,63.27
21,47837,10,2.0904320923134813e-4,2.090213619831947e-4,99436.76093610747,20.784407202062514,99426.36873250644,6193011.261705251,62.28
22,46335,10,2.1581957483543757e-4,2.1579628830384117e-4,99415.9765289054,21.453598733039577,99405.24972953889,6093584.892972745,61.29
23,43996,10,2.2729339030820985e-4,2.2726756210086134e-4,99394.52293017237,22.589150912518438,99383.22835471612,5994179.643243206,60.31
24,42898,10,2.3311110075061774e-4,2.3308393352446216e-4,99371.93377925985,23.16200120720226,99360.35277865625,5894796.41488849,59.32
25,41741,9,2.1561534222946265e-4,2.1559209974727816e-4,99348.77177805264,21.4188103149435,99338.06237289516,5795436.062109834,58.33
26,39676,11,2.772456900897268e-4,2.772072628302862e-4,99327.3529677377,27.53426364036427,99313.5858359175,5696097.999736939,57.35
27,39055,12,3.0725899372679554e-4,3.072117969330022e-4,99299.81870409733,30.506075739207084,99284.56566622772,5596784.413901021,56.36
28,37230,12,3.2232070910556004e-4,3.2226877215597806e-4,99269.31262835812,31.9913994935089,99253.31692861137,5497499.848234793,55.38
29,36094,12,3.3246522967806286e-4,3.32409972299169e-4,99237.3212288646,32.98747520073062,99220.82749126424,5398246.531306182,54.4
30,34692,12,3.459010722933241e-4,3.4584125886218223e-4,99204.33375366387,34.30895166995119,99187.1792778289,5299025.703814918,53.42
31,34716,13,3.7446710450512733e-4,3.7439700482396143e-4,99170.02480199392,37.12896025418449,99151.46032186682,5199838.524537089,52.43
32,32621,15,4.5982649213696696e-4,4.59720796236419e-4,99132.89584173972,45.573453809586574,99110.10911483492,5100687.064215222,51.45
33,30976,15,4.8424586776859505e-4,4.841286491196928e-4,99087.32238793014,47.97101153255611,99063.33688216386,5001576.955100387,50.48
34,30833,17,5.513573119709402e-4,5.512053564191106e-4,99039.35137639758,54.59102097494476,99012.05586591011,4902513.618218224,49.5
35,28765,18,6.257604727968017e-4,6.25564745951206e-4,98984.76035542264,61.92137646478097,98953.79966719024,4803501.562352314,48.53
36,28469,17,5.971407495872703e-4,5.969625142656483e-4,98922.83897895785,59.05322667517456,98893.31236562025,4704547.762685124,47.56
37,26409,19,7.194517020712636e-4,7.19192989760963e-4,98863.78575228267,71.10214165427146,98828.23468145553,4605654.450319503,46.59
38,25783,22,8.53275414032502e-4,8.529115298131347e-4,98792.68361062839,84.26141891268605,98750.55290117205,4506826.215638048,45.62
39,25636,24,9.361834919644251e-4,9.357454772301934e-4,98708.4221917157,92.36595963042642,98662.23921190048,4408075.662736876,44.66
40,25028,25,9.988812529966437e-4,9.983826201553482e-4,98616.05623208528,98.45655661037645,98566.82795378008,4309413.423524976,43.7
41,23897,25,0.001046156421308114,0.001045609485769255,98517.59967547489,103.01093673589462,98466.09420710694,4210846.595571196,42.74
42,22934,27,0.001177291357809366,0.0011765987580346442,98414.588738739,115.79448288249058,98356.69149729775,4112380.5013640886,41.79
43,22051,27,0.0012244342660196817,0.0012236851050329717,98298.7942558565,120.28677037359223,98238.65087066969,4014023.8098667907,40.83
44,20698,28,0.0013527877089573872,0.0013518733101583623,98178.5074854829,132.7249039008073,98112.14503353249,3915785.158996121,39.88
45,20340,29,0.0014257620452310718,0.001424746370581444,98045.78258158208,139.69037288392644,97975.93739514012,3817673.0139625887,38.94
46,19758,32,0.0016195971252151028,0.0016182866390209365,97906.09220869816,158.44012090008803,97826.8721482481,3719697.0765674487,37.99
47,19829,38,0.0019163850925412276,0.0019145505844417572,97747.65208779807,187.14282443250335,97654.08067558182,3621870.204419201,37.05
48,18809,37,0.0019671433888032324,0.001965210463417873,97560.50926336556,191.7269336207423,97464.64579655518,3524216.123743619,36.12
49,17114,36,0.0021035409606170387,0.002101330842867149,97368.78232974482,204.60402544191066,97266.48031702387,3426751.4779470637,35.19
50,17539,41,0.002337647528365357,0.002334918420228366,97164.17830430291,226.87042970907024,97050.74308944837,3329484.9976300397,34.27
51,16587,42,0.00253210345451257,0.0025289017341040463,96937.30787459384,245.14492598343818,96814.73541160213,3232434.2545405915,33.35
52,15864,42,0.00264750378214826,0.002644003777148253,96692.1629486104,255.6544440567603,96564.33572658204,3135619.5191289894,32.43
53,15951,47,0.002946523728919817,0.002942189113900278,96436.50850455365,283.73444550464933,96294.64128180133,3039055.1834024074,31.51
54,15622,49,0.0031366022276277045,0.0031316907934681878,96152.774059049,301.1207572871505,96002.21368040543,2942760.542120606,30.61
55,15053,52,0.0034544609048030293,0.0034485045427415616,95851.65330176185,330.5448618404149,95686.38087084165,2846758.3284402005,29.7
56,13666,52,0.003805063661642031,0.0037978381536663743,95521.10843992143,362.77371011363675,95339.7215848646,2751071.947569359,28.8
57,13446,55,0.004090435817343448,0.004082087059784021,95158.33472980779,388.44460683114477,94964.11242639221,2655732.2259844947,27.91
58,13299,58,0.004361230167681781,0.004351740696278512,94769.89012297665,412.41398763000046,94563.68312916165,2560768.1135581024,27.02
59,13169,63,0.004783962335788594,0.004772546494450967,94357.47613534665,450.3254419549894,94132.31341436916,2466204.430428941,26.14
60,12006,63,0.005247376311844078,0.005233644859813084,93907.15069339167,491.476676526162,93661.41235512859,2372072.1170145716,25.26
61,11731,65,0.005540874605745461,0.0055255663705529815,93415.67401686551,516.174506830132,93157.58676345044,2278410.704659443,24.39
62,10864,68,0.0062592047128129605,0.006239677004955038,92899.49951003537,579.6628708645995,92609.66807460308,2185253.1178959925,23.52
63,10426,73,0.007001726453098024,0.006977299880525687,92319.83663917077,644.1431851526372,91997.76504659446,2092643.4498213895,22.67
64,11052,84,0.00760043431053203,0.0075716603569497025,91675.69345401814,694.1372138216625,91328.6248471073,2000645.684774795,21.82
65,10957,90,0.00821392716984576,0.008180330848936556,90981.55624019649,744.2592311959355,90609.42662459852,1909317.0599276877,20.99
66,9890,91,0.009201213346814965,0.009159076040460975,90237.29700900055,826.4902649910978,89824.05187650501,1818707.6333030893,20.15
67,10086,102,0.010113027959547887,0.0100621485646641,89410.80674400946,899.664820744694,88960.9743336371,1728883.5814265844,19.34
68,9435,105,0.011128775834658187,0.011067193675889328,88511.14192326476,979.5699501388985,88021.35694819532,1639922.6070929472,18.53
69,8614,103,0.011957278848386347,0.011886215452080087,87531.57197312586,1040.4191233318288,87011.36241145994,1551901.250144752,17.73
70,8810,117,0.013280363223609535,0.013192760895303605,86491.15284979403,1141.0570991064897,85920.62430024079,1464889.887733292,16.94
71,9101,131,0.014394022634875289,0.01429116893034419,85350.09575068754,1219.7526365941276,84740.21943239047,1378969.2634330513,16.16
72,8028,127,0.015819631290483308,0.01569548291416919,84130.34311409341,1320.4663629104446,83470.10993263818,1294229.0440006608,15.38
73,8551,149,0.017424862589170857,0.01727436090661411,82809.87675118296,1430.4876976321675,82094.63290236688,1210758.9340680225,14.62
74,6192,119,0.019218346253229972,0.019035431496440852,81379.3890535508,1549.0917855510747,80604.84316077526,1128664.3011656557,13.87
75,7654,166,0.021688006271230728,0.021455344448752744,79830.29726799972,1712.786525331259,78973.90400533409,1048059.4580048803,13.13
76,7038,170,0.024154589371980676,0.02386634844868735,78117.51074266846,1864.3797313286027,77185.32087700415,969085.5539995462,12.41
77,6604,183,0.027710478497880074,0.027331790008214476,76253.13101133985,2084.134564270808,75211.06372920444,891900.233122542,11.7
78,6567,205,0.031216689508146794,0.03073693680185921,74168.99644706905,2279.7277564508818,73029.1325688436,816689.1693933376,11.01
79,5303,185,0.03488591363379219,0.03428783245297006,71889.26869061816,2464.927200030462,70656.80509060292,743660.0368244939,10.34
80,5971,242,0.040529224585496564,0.0397242284963887,69424.3414905877,2757.8284045834243,68045.42728829599,673003.231733891,9.69
81,6050,278,0.045950413223140495,0.04491840361932461,66666.51308600427,2994.5533426901256,65169.2364146592,604957.804445595,9.07
82,6408,334,0.05212234706616729,0.050798479087452476,63671.95974331414,3234.438715477859,62054.740385575205,539788.5680309358,8.48
83,5215,305,0.058485139022051776,0.0568234746157429,60437.52102783628,3434.2699419636824,58720.38605685443,477733.82764536067,7.9
84,4882,323,0.06616140925850061,0.06404282740160602,57003.251085872595,3650.64937062295,55177.92640056112,419013.4415885062,7.35
85,4853,364,0.07500515145270967,0.07229394240317777,53352.60171524964,3857.069915461941,51424.06675751867,363835.5151879451,6.82
86,5386,465,0.0863349424433717,0.08276230310581116,49495.5317997877,4096.364205197345,47447.34969718903,312411.4484304264,6.31
87,4924,480,0.09748172217709179,0.09295120061967467,45399.167594590355,4219.907135051001,43289.21402706485,264964.09873323736,5.84
88,4331,488,0.11267605633802817,0.10666666666666667,41179.26045953936,4392.454449017531,38983.03323503059,221674.8847061725,5.38
89,4694,597,0.1271836386876864,0.11957936905358037,36786.806010521825,4398.943052234657,34587.3344844045,182691.8514711419,4.97
90,4333,631,0.14562658666051234,0.1357427127030225,32387.86295828717,4396.416376611639,30189.65476998135,148104.5169867374,4.57
91,4622,768,0.16616183470359153,0.15341590091889734,27991.44658167553,4294.332995350941,25844.280084000056,117914.86221675607,4.21
92,3644,690,0.1893523600439078,0.17297568312860365,23697.113586324587,4099.02441077061,21647.601380939283,92070.58213275601,3.89
93,3694,786,0.21277747698971305,0.19231710300954247,19598.089175553978,3769.0477347652136,17713.56530817137,70422.98075181674,3.59
94,3529,833,0.23604420515726834,0.21112659992396401,15829.041440788764,3341.931699449256,14158.075591064135,52709.41544364537,3.33
95,2865,754,0.2631762652705061,0.23257248611967918,12487.109741339507,2904.1581569925934,11035.030662843212,38551.33985258124,3.09
96,3621,1049,0.2896989781828224,0.25304547099264263,9582.951584346914,2424.922497160756,8370.490335766537,27516.30918973803,2.87
97,3484,1130,0.3243398392652124,0.27908125463077305,7158.029087186159,1997.6717383354803,6159.1932180184185,19145.818853971494,2.67
98,3241,1167,0.3600740512187596,0.3051379265263433,5160.357348850678,1574.620741563274,4373.046978069041,12986.625635953074,2.52
99,3010,1169,0.3883720930232558,0.3252190847127556,3585.7366072874042,1166.1499774430313,3002.6616185658886,8613.578657884034,2.4
