"Popn","Year","Areatype","Sex","Code","Name","Age","Agegroup2","Agegroup"
36835,2024,"REG",1,"E12000003","YORKSHIRE AND THE HUMBER",37,"35-39","35-39"
32265,2024,"REG",1,"E12000004","EAST MIDLANDS",37,"35-39","35-39"
40529,2024,"REG",1,"E12000005","WEST MIDLANDS",37,"35-39","35-39"
43755,2024,"REG",1,"E12000006","EAST",37,"35-39","35-39"
68519,2024,"REG",1,"E12000007","LONDON",37,"35-39","35-39"
63188,2024,"REG",1,"E12000008","SOUTH EAST",37,"35-39","35-39"
36370,2024,"REG",1,"E12000009","SOUTH WEST",37,"35-39","35-39"
389676,2024,"ENG",1,"E92000001","ENGLAND",37,"35-39","35-39"
409538,2024,"E&W",1,"K04000001","ENGLAND AND WALES",37,"35-39","35-39"
19862,2024,"WAL",1,"W92000004","WALES",37,"35-39","35-39"
14006,2024,"REG",1,"E12000001","NORTH EAST",2,"01-04","01-04"
43034,2024,"REG",1,"E12000002","NORTH WEST",2,"01-04","01-04"
30875,2024,"REG",1,"E12000003","YORKSHIRE AND THE HUMBER",2,"01-04","01-04"
26537,2024,"REG",1,"E12000004","EAST MIDLANDS",2,"01-04","01-04"
35698,2024,"REG",1,"E12000005","WEST MIDLANDS",2,"01-04","01-04"
36896,2024,"REG",1,"E12000006","EAST",2,"01-04","01-04"
55708,2024,"REG",1,"E12000007","LONDON",2,"01-04","01-04"
51454,2024,"REG",1,"E12000008","SOUTH EAST",2,"01-04","01-04"
28049,2024,"REG",1,"E12000009","SOUTH WEST",2,"01-04","01-04"
322257,2024,"ENG",1,"E92000001","ENGLAND",2,"01-04","01-04"
338007,2024,"E&W",1,"K04000001","ENGLAND AND WALES",2,"01-04","01-04"
15750,2024,"WAL",1,"W92000004","WALES",2,"01-04","01-04"
17832,2024,"REG",1,"E12000001","NORTH EAST",38,"35-39","35-39"
51351,2024,"REG",1,"E12000002","NORTH WEST",38,"35-39","35-39"
37185,2024,"REG",1,"E12000003","YORKSHIRE AND THE HUMBER",38,"35-39","35-39"
32354,2024,"REG",1,"E12000004","EAST MIDLANDS",38,"35-39","35-39"
39980,2024,"REG",1,"E12000005","WEST MIDLANDS",38,"35-39","35-39"
43784,2024,"REG",1,"E12000006","EAST",38,"35-39","35-39"
67265,2024,"REG",1,"E12000007","LONDON",38,"35-39","35-39"
62913,2024,"REG",1,"E12000008","SOUTH EAST",38,"35-39","35-39"
36168,2024,"REG",1,"E12000009","SOUTH WEST",38,"35-39","35-39"
388832,2024,"ENG",1,"E92000001","ENGLAND",38,"35-39","35-39"
408563,2024,"E&W",1,"K04000001","ENGLAND AND WALES",38,"35-39","35-39"
19731,2024,"WAL",1,"W92000004","WALES",38,"35-39","35-39"
16803,2024,"REG",1,"E12000001","NORTH EAST",23,"20-24","20-24"
47675,2024,"REG",1,"E12000002","NORTH WEST",23,"20-24","20-24"
35150,2024,"REG",1,"E12000003","YORKSHIRE AND THE HUMBER",23,"20-24","20-24"
29898,2024,"REG",1,"E12000004","EAST MIDLANDS",23,"20-24","20-24"
38592,2024,"REG",1,"E12000005","WEST MIDLANDS",23,"20-24","20-24"
36863,2024,"REG",1,"E12000006","EAST",23,"20-24","20-24"
69244,2024,"REG",1,"E12000007","LONDON",23,"20-24","20-24"
53607,2024,"REG",1,"E12000008","SOUTH EAST",23,"20-24","20-24"
34111,2024,"REG",1,"E12000009","SOUTH WEST",23,"20-24","20-24"
361943,2024,"ENG",1,"E92000001","ENGLAND",23,"20-24","20-24"
381169,2024,"E&W",1,"K04000001","ENGLAND AND WALES",23,"20-24","20-24"
19226,2024,"WAL",1,"W92000004","WALES",23,"20-24","20-24"
13933,2024,"REG",1,"E12000001","NORTH EAST",3,"01-04","01-04"
42642,2024,"REG",1,"E12000002","NORTH WEST",3,"01-04","01-04"
30939,2024,"REG",1,"E12000003","YORKSHIRE AND THE HUMBER",3,"01-04","01-04"
26642,2024,"REG",1,"E12000004","EAST MIDLANDS",3,"01-04","01-04"
35432,2024,"REG",1,"E12000005","WEST MIDLANDS",3,"01-04","01-04"
37131,2024,"REG",1,"E12000006","EAST",3,"01-04","01-04"
52460,2024,"REG",1,"E12000007","LONDON",3,"01-04","01-04"
52545,2024,"REG",1,"E12000008","SOUTH EAST",3,"01-04","01-04"
28362,2024,"REG",1,"E12000009","SOUTH WEST",3,"01-04","01-04"
320086,2024,"ENG",1,"E92000001","ENGLAND",3,"01-04","01-04"
335660,2024,"E&W",1,"K04000001","ENGLAND AND WALES",3,"01-04","01-04"
17322,2024,"REG",1,"E12000001","NORTH EAST",39,"35-39","35-39"
51256,2024,"REG",1,"E12000002","NORTH WEST",39,"35-39","35-39"
36435,2024,"REG",1,"E12000003","YORKSHIRE AND THE HUMBER",39,"35-39","35-39"
32529,2024,"REG",1,"E12000004","EAST MIDLANDS",39,"35-39","35-39"
40391,2024,"REG",1,"E12000005","WEST MIDLANDS",39,"35-39","35-39"
42901,2024,"REG",1,"E12000006","EAST",39,"35-39","35-39"
66639,2024,"REG",1,"E12000007","LONDON",39,"35-39","35-39"
63276,2024,"REG",1,"E12000008","SOUTH EAST",39,"35-39","35-39"
35667,2024,"REG",1,"E12000009","SOUTH WEST",39,"35-39","35-39"
386416,2024,"ENG",1,"E92000001","ENGLAND",39,"35-39","35-39"
405873,2024,"E&W",1,"K04000001","ENGLAND AND WALES",39,"35-39","35-39"
19457,2024,"WAL",1,"W92000004","WALES",39,"35-39","35-39"
15574,2024,"WAL",1,"W92000004","WALES",3,"01-04","01-04"
16691,2024,"REG",1,"E12000001","NORTH EAST",24,"20-24","20-24"
48805,2024,"REG",1,"E12000002","NORTH WEST",24,"20-24","20-24"
35261,2024,"REG",1,"E12000003","YORKSHIRE AND THE HUMBER",24,"20-24","20-24"
29253,2024,"REG",1,"E12000004","EAST MIDLANDS",24,"20-24","20-24"
38754,2024,"REG",1,"E12000005","WEST MIDLANDS",24,"20-24","20-24"
38782,2024,"REG",1,"E12000006","EAST",24,"20-24","20-24"
75301,2024,"REG",1,"E12000007","LONDON",24,"20-24","20-24"
54507,2024,"REG",1,"E12000008","SOUTH EAST",24,"20-24","20-24"
34224,2024,"REG",1,"E12000009","SOUTH WEST",24,"20-24","20-24"
371578,2024,"ENG",1,"E92000001","ENGLAND",24,"20-24","20-24"
390673,2024,"E&W",1,"K04000001","ENGLAND AND WALES",24,"20-24","20-24"
16872,2024,"REG",1,"E12000001","NORTH EAST",40,"40-44","40-44"
49071,2024,"REG",1,"E12000002","NORTH WEST",40,"40-44","40-44"
35394,2024,"REG",1,"E12000003","YORKSHIRE AND THE HUMBER",40,"40-44","40-44"
31453,2024,"REG",1,"E12000004","EAST MIDLANDS",40,"40-44","40-44"
38417,2024,"REG",1,"E12000005","WEST MIDLANDS",40,"40-44","40-44"
41931,2024,"REG",1,"E12000006","EAST",40,"40-44","40-44"
64088,2024,"REG",1,"E12000007","LONDON",40,"40-44","40-44"
61710,2024,"REG",1,"E12000008","SOUTH EAST",40,"40-44","40-44"
34843,2024,"REG",1,"E12000009","SOUTH WEST",40,"40-44","40-44"
19095,2024,"WAL",1,"W92000004","WALES",24,"20-24","20-24"
373779,2024,"ENG",1,"E92000001","ENGLAND",40,"40-44","40-44"
392573,2024,"E&W",1,"K04000001","ENGLAND AND WALES",40,"40-44","40-44"
18794,2024,"WAL",1,"W92000004","WALES",40,"40-44","40-44"
16766,2024,"REG",1,"E12000001","NORTH EAST",25,"25-29","25-29"
50306,2024,"REG",1,"E12000002","NORTH WEST",25,"25-29","25-29"
35108,2024,"REG",1,"E12000003","YORKSHIRE AND THE HUMBER",25,"25-29","25-29"
29876,2024,"REG",1,"E12000004","EAST MIDLANDS",25,"25-29","25-29"
39433,2024,"REG",1,"E12000005","WEST MIDLANDS",25,"25-29","25-29"
39506,2024,"REG",1,"E12000006","EAST",25,"25-29","25-29"
80645,2024,"REG",1,"E12000007","LONDON",25,"25-29","25-29"
55199,2024,"REG",1,"E12000008","SOUTH EAST",25,"25-29","25-29"
34763,2024,"REG",1,"E12000009","SOUTH WEST",25,"25-29","25-29"
381602,2024,"ENG",1,"E92000001","ENGLAND",25,"25-29","25-29"
400966,2024,"E&W",1,"K04000001","ENGLAND AND WALES",25,"25-29","25-29"
14874,2024,"REG",1,"E12000001","NORTH EAST",50,"50-54","50-54"
43926,2024,"REG",1,"E12000002","NORTH WEST",50,"50-54","50-54"
32272,2024,"REG",1,"E12000003","YORKSHIRE AND THE HUMBER",50,"50-54","50-54"
29710,2024,"REG",1,"E12000004","EAST MIDLANDS",50,"50-54","50-54"
35855,2024,"REG",1,"E12000005","WEST MIDLANDS",50,"50-54","50-54"
40164,2024,"REG",1,"E12000006","EAST",50,"50-54","50-54"
54728,2024,"REG",1,"E12000007","LONDON",50,"50-54","50-54"
60243,2024,"REG",1,"E12000008","SOUTH EAST",50,"50-54","50-54"
34024,2024,"REG",1,"E12000009","SOUTH WEST",50,"50-54","50-54"
345796,2024,"ENG",1,"E92000001","ENGLAND",50,"50-54","50-54"
363491,2024,"E&W",1,"K04000001","ENGLAND AND WALES",50,"50-54","50-54"
17695,2024,"WAL",1,"W92000004","WALES",50,"50-54","50-54"
19364,2024,"WAL",1,"W92000004","WALES",25,"25-29","25-29"
16685,2024,"REG",1,"E12000001","NORTH EAST",41,"40-44","40-44"
48586,2024,"REG",1,"E12000002","NORTH WEST",41,"40-44","40-44"
35164,2024,"REG",1,"E12000003","YORKSHIRE AND THE HUMBER",41,"40-44","40-44"
31319,2024,"REG",1,"E12000004","EAST MIDLANDS",41,"40-44","40-44"
38498,2024,"REG",1,"E12000005","WEST MIDLANDS",41,"40-44","40-44"
41887,2024,"REG",1,"E12000006","EAST",41,"40-44","40-44"
63517,2024,"REG",1,"E12000007","LONDON",41,"40-44","40-44"
62653,2024,"REG",1,"E12000008","SOUTH EAST",41,"40-44","40-44"
35092,2024,"REG",1,"E12000009","SOUTH WEST",41,"40-44","40-44"
373401,2024,"ENG",1,"E92000001","ENGLAND",41,"40-44","40-44"
16752,2024,"REG",1,"E12000001","NORTH EAST",26,"25-29","25-29"
50712,2024,"REG",1,"E12000002","NORTH WEST",26,"25-29","25-29"
35676,2024,"REG",1,"E12000003","YORKSHIRE AND THE HUMBER",26,"25-29","25-29"
29467,2024,"REG",1,"E12000004","EAST MIDLANDS",26,"25-29","25-29"
39710,2024,"REG",1,"E12000005","WEST MIDLANDS",26,"25-29","25-29"
39875,2024,"REG",1,"E12000006","EAST",26,"25-29","25-29"
83532,2024,"REG",1,"E12000007","LONDON",26,"25-29","25-29"
55806,2024,"REG",1,"E12000008","SOUTH EAST",26,"25-29","25-29"
33722,2024,"REG",1,"E12000009","SOUTH WEST",26,"25-29","25-29"
385252,2024,"ENG",1,"E92000001","ENGLAND",26,"25-29","25-29"
404147,2024,"E&W",1,"K04000001","ENGLAND AND WALES",26,"25-29","25-29"
18895,2024,"WAL",1,"W92000004","WALES",26,"25-29","25-29"
16023,2024,"REG",1,"E12000001","NORTH EAST",51,"50-54","50-54"
46007,2024,"REG",1,"E12000002","NORTH WEST",51,"50-54","50-54"
34361,2024,"REG",1,"E12000003","YORKSHIRE AND THE HUMBER",51,"50-54","50-54"
31106,2024,"REG",1,"E12000004","EAST MIDLANDS",51,"50-54","50-54"
37762,2024,"REG",1,"E12000005","WEST MIDLANDS",51,"50-54","50-54"
41189,2024,"REG",1,"E12000006","EAST",51,"50-54","50-54"
54526,2024,"REG",1,"E12000007","LONDON",51,"50-54","50-54"
62089,2024,"REG",1,"E12000008","SOUTH EAST",51,"50-54","50-54"
35717,2024,"REG",1,"E12000009","SOUTH WEST",51,"50-54","50-54"
358780,2024,"ENG",1,"E92000001","ENGLAND",51,"50-54","50-54"
377444,2024,"E&W",1,"K04000001","ENGLAND AND WALES",51,"50-54","50-54"
18664,2024,"WAL",1,"W92000004","WALES",51,"50-54","50-54"
392046,2024,"E&W",1,"K04000001","ENGLAND AND WALES",41,"40-44","40-44"
18645,2024,"WAL",1,"W92000004","WALES",41,"40-44","40-44"
17060,2024,"REG",1,"E12000001","NORTH EAST",27,"25-29","25-29"
51539,2024,"REG",1,"E12000002","NORTH WEST",27,"25-29","25-29"
35923,2024,"REG",1,"E12000003","YORKSHIRE AND THE HUMBER",27,"25-29","25-29"
30238,2024,"REG",1,"E12000004","EAST MIDLANDS",27,"25-29","25-29"
39696,2024,"REG",1,"E12000005","WEST MIDLANDS",27,"25-29","25-29"
39683,2024,"REG",1,"E12000006","EAST",27,"25-29","25-29"
86396,2024,"REG",1,"E12000007","LONDON",27,"25-29","25-29"
55276,2024,"REG",1,"E12000008","SOUTH EAST",27,"25-29","25-29"
34463,2024,"REG",1,"E12000009","SOUTH WEST",27,"25-29","25-29"
390274,2024,"ENG",1,"E92000001","ENGLAND",27,"25-29","25-29"
410171,2024,"E&W",1,"K04000001","ENGLAND AND WALES",27,"25-29","25-29"
17251,2024,"REG",1,"E12000001","NORTH EAST",52,"50-54","50-54"
19897,2024,"WAL",1,"W92000004","WALES",27,"25-29","25-29"
48621,2024,"REG",1,"E12000002","NORTH WEST",52,"50-54","50-54"
35872,2024,"REG",1,"E12000003","YORKSHIRE AND THE HUMBER",52,"50-54","50-54"
33276,2024,"REG",1,"E12000004","EAST MIDLANDS",52,"50-54","50-54"
39083,2024,"REG",1,"E12000005","WEST MIDLANDS",52,"50-54","50-54"
42329,2024,"REG",1,"E12000006","EAST",52,"50-54","50-54"
54135,2024,"REG",1,"E12000007","LONDON",52,"50-54","50-54"
63283,2024,"REG",1,"E12000008","SOUTH EAST",52,"50-54","50-54"
37003,2024,"REG",1,"E12000009","SOUTH WEST",52,"50-54","50-54"
370853,2024,"ENG",1,"E92000001","ENGLAND",52,"50-54","50-54"
390870,2024,"E&W",1,"K04000001","ENGLAND AND WALES",52,"50-54","50-54"
20017,2024,"WAL",1,"W92000004","WALES",52,"50-54","50-54"
16354,2024,"REG",1,"E12000001","NORTH EAST",42,"40-44","40-44"
48124,2024,"REG",1,"E12000002","NORTH WEST",42,"40-44","40-44"
34738,2024,"REG",1,"E12000003","YORKSHIRE AND THE HUMBER",42,"40-44","40-44"
31057,2024,"REG",1,"E12000004","EAST MIDLANDS",42,"40-44","40-44"
37773,2024,"REG",1,"E12000005","WEST MIDLANDS",42,"40-44","40-44"
42108,2024,"REG",1,"E12000006","EAST",42,"40-44","40-44"
63412,2024,"REG",1,"E12000007","LONDON",42,"40-44","40-44"
62777,2024,"REG",1,"E12000008","SOUTH EAST",42,"40-44","40-44"
35218,2024,"REG",1,"E12000009","SOUTH WEST",42,"40-44","40-44"
371561,2024,"ENG",1,"E92000001","ENGLAND",42,"40-44","40-44"
389972,2024,"E&W",1,"K04000001","ENGLAND AND WALES",42,"40-44","40-44"
18411,2024,"WAL",1,"W92000004","WALES",42,"40-44","40-44"
16815,2024,"REG",1,"E12000001","NORTH EAST",28,"25-29","25-29"
49426,2024,"REG",1,"E12000002","NORTH WEST",28,"25-29","25-29"
35442,2024,"REG",1,"E12000003","YORKSHIRE AND THE HUMBER",28,"25-29","25-29"
30086,2024,"REG",1,"E12000004","EAST MIDLANDS",28,"25-29","25-29"
38957,2024,"REG",1,"E12000005","WEST MIDLANDS",28,"25-29","25-29"
39127,2024,"REG",1,"E12000006","EAST",28,"25-29","25-29"
85963,2024,"REG",1,"E12000007","LONDON",28,"25-29","25-29"
54597,2024,"REG",1,"E12000008","SOUTH EAST",28,"25-29","25-29"
33712,2024,"REG",1,"E12000009","SOUTH WEST",28,"25-29","25-29"
384125,2024,"ENG",1,"E92000001","ENGLAND",28,"25-29","25-29"
403195,2024,"E&W",1,"K04000001","ENGLAND AND WALES",28,"25-29","25-29"
19070,2024,"WAL",1,"W92000004","WALES",28,"25-29","25-29"
18209,2024,"REG",1,"E12000001","NORTH EAST",53,"50-54","50-54"
50643,2024,"REG",1,"E12000002","NORTH WEST",53,"50-54","50-54"
37590,2024,"REG",1,"E12000003","YORKSHIRE AND THE HUMBER",53,"50-54","50-54"
34568,2024,"REG",1,"E12000004","EAST MIDLANDS",53,"50-54","50-54"
40408,2024,"REG",1,"E12000005","WEST MIDLANDS",53,"50-54","50-54"
43595,2024,"REG",1,"E12000006","EAST",53,"50-54","50-54"
54038,2024,"REG",1,"E12000007","LONDON",53,"50-54","50-54"
64591,2024,"REG",1,"E12000008","SOUTH EAST",53,"50-54","50-54"
38561,2024,"REG",1,"E12000009","SOUTH WEST",53,"50-54","50-54"
382203,2024,"ENG",1,"E92000001","ENGLAND",53,"50-54","50-54"
403361,2024,"E&W",1,"K04000001","ENGLAND AND WALES",53,"50-54","50-54"
21158,2024,"WAL",1,"W92000004","WALES",53,"50-54","50-54"
16386,2024,"REG",1,"E12000001","NORTH EAST",43,"40-44","40-44"
47982,2024,"REG",1,"E12000002","NORTH WEST",43,"40-44","40-44"
34857,2024,"REG",1,"E12000003","YORKSHIRE AND THE HUMBER",43,"40-44","40-44"
31685,2024,"REG",1,"E12000004","EAST MIDLANDS",43,"40-44","40-44"
38322,2024,"REG",1,"E12000005","WEST MIDLANDS",43,"40-44","40-44"
42910,2024,"REG",1,"E12000006","EAST",43,"40-44","40-44"
63456,2024,"REG",1,"E12000007","LONDON",43,"40-44","40-44"
63449,2024,"REG",1,"E12000008","SOUTH EAST",43,"40-44","40-44"
35172,2024,"REG",1,"E12000009","SOUTH WEST",43,"40-44","40-44"
374219,2024,"ENG",1,"E92000001","ENGLAND",43,"40-44","40-44"
392807,2024,"E&W",1,"K04000001","ENGLAND AND WALES",43,"40-44","40-44"
18588,2024,"WAL",1,"W92000004","WALES",43,"40-44","40-44"
17182,2024,"REG",1,"E12000001","NORTH EAST",29,"25-29","25-29"
50384,2024,"REG",1,"E12000002","NORTH WEST",29,"25-29","25-29"
35600,2024,"REG",1,"E12000003","YORKSHIRE AND THE HUMBER",29,"25-29","25-29"
31090,2024,"REG",1,"E12000004","EAST MIDLANDS",29,"25-29","25-29"
39420,2024,"REG",1,"E12000005","WEST MIDLANDS",29,"25-29","25-29"
39641,2024,"REG",1,"E12000006","EAST",29,"25-29","25-29"
84195,2024,"REG",1,"E12000007","LONDON",29,"25-29","25-29"
55184,2024,"REG",1,"E12000008","SOUTH EAST",29,"25-29","25-29"
33629,2024,"REG",1,"E12000009","SOUTH WEST",29,"25-29","25-29"
386325,2024,"ENG",1,"E92000001","ENGLAND",29,"25-29","25-29"
405346,2024,"E&W",1,"K04000001","ENGLAND AND WALES",29,"25-29","25-29"
19021,2024,"WAL",1,"W92000004","WALES",29,"25-29","25-29"
16744,2024,"REG",1,"E12000001","NORTH EAST",44,"40-44","40-44"
47914,2024,"REG",1,"E12000002","NORTH WEST",44,"40-44","40-44"
34931,2024,"REG",1,"E12000003","YORKSHIRE AND THE HUMBER",44,"40-44","40-44"
31671,2024,"REG",1,"E12000004","EAST MIDLANDS",44,"40-44","40-44"
38513,2024,"REG",1,"E12000005","WEST MIDLANDS",44,"40-44","40-44"
42740,2024,"REG",1,"E12000006","EAST",44,"40-44","40-44"
63472,2024,"REG",1,"E12000007","LONDON",44,"40-44","40-44"
64305,2024,"REG",1,"E12000008","SOUTH EAST",44,"40-44","40-44"
35501,2024,"REG",1,"E12000009","SOUTH WEST",44,"40-44","40-44"
375791,2024,"ENG",1,"E92000001","ENGLAND",44,"40-44","40-44"
394834,2024,"E&W",1,"K04000001","ENGLAND AND WALES",44,"40-44","40-44"
19043,2024,"WAL",1,"W92000004","WALES",44,"40-44","40-44"
17217,2024,"REG",1,"E12000001","NORTH EAST",54,"50-54","50-54"
49325,2024,"REG",1,"E12000002","NORTH WEST",54,"50-54","50-54"
36712,2024,"REG",1,"E12000003","YORKSHIRE AND THE HUMBER",54,"50-54","50-54"
32939,2024,"REG",1,"E12000004","EAST MIDLANDS",54,"50-54","50-54"
39950,2024,"REG",1,"E12000005","WEST MIDLANDS",54,"50-54","50-54"
42297,2024,"REG",1,"E12000006","EAST",54,"50-54","50-54"
53715,2024,"REG",1,"E12000007","LONDON",54,"50-54","50-54"
