"Popn","Year","Areatype","Sex","Code","Name","Age","Agegroup2","Agegroup"
14308,2024,"REG",1,"E12000001","NORTH EAST",4,"01-04","01-04"
44277,2024,"REG",1,"E12000002","NORTH WEST",4,"01-04","01-04"
32255,2024,"REG",1,"E12000003","YORKSHIRE AND THE HUMBER",4,"01-04","01-04"
28040,2024,"REG",1,"E12000004","EAST MIDLANDS",4,"01-04","01-04"
36796,2024,"REG",1,"E12000005","WEST MIDLANDS",4,"01-04","01-04"
38579,2024,"REG",1,"E12000006","EAST",4,"01-04","01-04"
53259,2024,"REG",1,"E12000007","LONDON",4,"01-04","01-04"
54833,2024,"REG",1,"E12000008","SOUTH EAST",4,"01-04","01-04"
29338,2024,"REG",1,"E12000009","SOUTH WEST",4,"01-04","01-04"
331685,2024,"ENG",1,"E92000001","ENGLAND",4,"01-04","01-04"
347836,2024,"E&W",1,"K04000001","ENGLAND AND WALES",4,"01-04","01-04"
16151,2024,"WAL",1,"W92000004","WALES",4,"01-04","01-04"
20405,2024,"WAL",1,"W92000004","WALES",19,"15-19","15-19"
17537,2024,"REG",1,"E12000001","NORTH EAST",35,"35-39","35-39"
52021,2024,"REG",1,"E12000002","NORTH WEST",35,"35-39","35-39"
37235,2024,"REG",1,"E12000003","YORKSHIRE AND THE HUMBER",35,"35-39","35-39"
32893,2024,"REG",1,"E12000004","EAST MIDLANDS",35,"35-39","35-39"
40997,2024,"REG",1,"E12000005","WEST MIDLANDS",35,"35-39","35-39"
43878,2024,"REG",1,"E12000006","EAST",35,"35-39","35-39"
73652,2024,"REG",1,"E12000007","LONDON",35,"35-39","35-39"
62690,2024,"REG",1,"E12000008","SOUTH EAST",35,"35-39","35-39"
36869,2024,"REG",1,"E12000009","SOUTH WEST",35,"35-39","35-39"
397772,2024,"ENG",1,"E92000001","ENGLAND",35,"35-39","35-39"
417853,2024,"E&W",1,"K04000001","ENGLAND AND WALES",35,"35-39","35-39"
20081,2024,"WAL",1,"W92000004","WALES",35,"35-39","35-39"
19378,2024,"REG",1,"E12000001","NORTH EAST",20,"20-24","20-24"
50743,2024,"REG",1,"E12000002","NORTH WEST",20,"20-24","20-24"
38735,2024,"REG",1,"E12000003","YORKSHIRE AND THE HUMBER",20,"20-24","20-24"
35320,2024,"REG",1,"E12000004","EAST MIDLANDS",20,"20-24","20-24"
40610,2024,"REG",1,"E12000005","WEST MIDLANDS",20,"20-24","20-24"
31863,2024,"REG",1,"E12000006","EAST",20,"20-24","20-24"
52728,2024,"REG",1,"E12000007","LONDON",20,"20-24","20-24"
52193,2024,"REG",1,"E12000008","SOUTH EAST",20,"20-24","20-24"
37671,2024,"REG",1,"E12000009","SOUTH WEST",20,"20-24","20-24"
359241,2024,"ENG",1,"E92000001","ENGLAND",20,"20-24","20-24"
379584,2024,"E&W",1,"K04000001","ENGLAND AND WALES",20,"20-24","20-24"
20343,2024,"WAL",1,"W92000004","WALES",20,"20-24","20-24"
12863,2024,"REG",1,"E12000001","NORTH EAST",0,"<1","<1"
38784,2024,"REG",1,"E12000002","NORTH WEST",0,"<1","<1"
28093,2024,"REG",1,"E12000003","YORKSHIRE AND THE HUMBER",0,"<1","<1"
23634,2024,"REG",1,"E12000004","EAST MIDLANDS",0,"<1","<1"
32733,2024,"REG",1,"E12000005","WEST MIDLANDS",0,"<1","<1"
33111,2024,"REG",1,"E12000006","EAST",0,"<1","<1"
54134,2024,"REG",1,"E12000007","LONDON",0,"<1","<1"
45817,2024,"REG",1,"E12000008","SOUTH EAST",0,"<1","<1"
24763,2024,"REG",1,"E12000009","SOUTH WEST",0,"<1","<1"
293932,2024,"ENG",1,"E92000001","ENGLAND",0,"<1","<1"
307930,2024,"E&W",1,"K04000001","ENGLAND AND WALES",0,"<1","<1"
13998,2024,"WAL",1,"W92000004","WALES",0,"<1","<1"
19509,2024,"REG",1,"E12000001","NORTH EAST",21,"20-24","20-24"
50002,2024,"REG",1,"E12000002","NORTH WEST",21,"20-24","20-24"
37021,2024,"REG",1,"E12000003","YORKSHIRE AND THE HUMBER",21,"20-24","20-24"
33907,2024,"REG",1,"E12000004","EAST MIDLANDS",21,"20-24","20-24"
39096,2024,"REG",1,"E12000005","WEST MIDLANDS",21,"20-24","20-24"
32133,2024,"REG",1,"E12000006","EAST",21,"20-24","20-24"
56527,2024,"REG",1,"E12000007","LONDON",21,"20-24","20-24"
51481,2024,"REG",1,"E12000008","SOUTH EAST",21,"20-24","20-24"
37540,2024,"REG",1,"E12000009","SOUTH WEST",21,"20-24","20-24"
357216,2024,"ENG",1,"E92000001","ENGLAND",21,"20-24","20-24"
377395,2024,"E&W",1,"K04000001","ENGLAND AND WALES",21,"20-24","20-24"
20179,2024,"WAL",1,"W92000004","WALES",21,"20-24","20-24"
17839,2024,"REG",1,"E12000001","NORTH EAST",36,"35-39","35-39"
52770,2024,"REG",1,"E12000002","NORTH WEST",36,"35-39","35-39"
37604,2024,"REG",1,"E12000003","YORKSHIRE AND THE HUMBER",36,"35-39","35-39"
33662,2024,"REG",1,"E12000004","EAST MIDLANDS",36,"35-39","35-39"
40916,2024,"REG",1,"E12000005","WEST MIDLANDS",36,"35-39","35-39"
44550,2024,"REG",1,"E12000006","EAST",36,"35-39","35-39"
71245,2024,"REG",1,"E12000007","LONDON",36,"35-39","35-39"
64043,2024,"REG",1,"E12000008","SOUTH EAST",36,"35-39","35-39"
36912,2024,"REG",1,"E12000009","SOUTH WEST",36,"35-39","35-39"
399541,2024,"ENG",1,"E92000001","ENGLAND",36,"35-39","35-39"
419899,2024,"E&W",1,"K04000001","ENGLAND AND WALES",36,"35-39","35-39"
20358,2024,"WAL",1,"W92000004","WALES",36,"35-39","35-39"
13265,2024,"REG",1,"E12000001","NORTH EAST",1,"01-04","01-04"
40566,2024,"REG",1,"E12000002","NORTH WEST",1,"01-04","01-04"
29417,2024,"REG",1,"E12000003","YORKSHIRE AND THE HUMBER",1,"01-04","01-04"
24801,2024,"REG",1,"E12000004","EAST MIDLANDS",1,"01-04","01-04"
34020,2024,"REG",1,"E12000005","WEST MIDLANDS",1,"01-04","01-04"
34299,2024,"REG",1,"E12000006","EAST",1,"01-04","01-04"
54039,2024,"REG",1,"E12000007","LONDON",1,"01-04","01-04"
48353,2024,"REG",1,"E12000008","SOUTH EAST",1,"01-04","01-04"
25629,2024,"REG",1,"E12000009","SOUTH WEST",1,"01-04","01-04"
304389,2024,"ENG",1,"E92000001","ENGLAND",1,"01-04","01-04"
319046,2024,"E&W",1,"K04000001","ENGLAND AND WALES",1,"01-04","01-04"
14657,2024,"WAL",1,"W92000004","WALES",1,"01-04","01-04"
17699,2024,"REG",1,"E12000001","NORTH EAST",22,"20-24","20-24"
48485,2024,"REG",1,"E12000002","NORTH WEST",22,"20-24","20-24"
35849,2024,"REG",1,"E12000003","YORKSHIRE AND THE HUMBER",22,"20-24","20-24"
31747,2024,"REG",1,"E12000004","EAST MIDLANDS",22,"20-24","20-24"
38626,2024,"REG",1,"E12000005","WEST MIDLANDS",22,"20-24","20-24"
35201,2024,"REG",1,"E12000006","EAST",22,"20-24","20-24"
61444,2024,"REG",1,"E12000007","LONDON",22,"20-24","20-24"
52615,2024,"REG",1,"E12000008","SOUTH EAST",22,"20-24","20-24"
35407,2024,"REG",1,"E12000009","SOUTH WEST",22,"20-24","20-24"
357073,2024,"ENG",1,"E92000001","ENGLAND",22,"20-24","20-24"
376439,2024,"E&W",1,"K04000001","ENGLAND AND WALES",22,"20-24","20-24"
19366,2024,"WAL",1,"W92000004","WALES",22,"20-24","20-24"
17577,2024,"REG",1,"E12000001","NORTH EAST",37,"35-39","35-39"
50638,2024,"REG",1,"E12000002","NORTH WEST",37,"35-39","35-39"
