date,cases
01/01/2025,16996
01/02/2025,17215
01/03/2025,16223
01/04/2025,15999
01/05/2025,38025
01/06/2025,11522
01/07/2025,10957
01/08/2025,11292
01/09/2025,15994
01/10/2025,13964
01/11/2025,11798
01/12/2025,0
01/01/2024,25492
01/02/2024,25080
01/03/2024,21000
01/04/2024,16126
01/05/2024,15290
01/06/2024,12034
01/07/2024,17449
01/08/2024,16660
01/09/2024,18399
01/10/2024,15898
01/11/2024,12972
01/12/2024,18675
01/01/2023,830
01/02/2023,1370
01/03/2023,862
01/04/2023,1964
01/05/2023,3765
01/06/2023,6002
01/07/2023,7341
01/08/2023,11200
01/09/2023,20058
01/10/2023,22308
01/11/2023,20418
01/12/2023,20550
01/01/2022,72
01/02/2022,88
01/03/2022,104
01/04/2022,122
01/05/2022,104
01/06/2022,98
01/07/2022,105
01/08/2022,176
01/09/2022,164
01/10/2022,169
01/11/2022,67
01/12/2022,46
01/01/2021,76
01/02/2021,39
01/03/2021,42
01/04/2021,64
01/05/2021,106
01/06/2021,112
01/07/2021,70
01/08/2021,62
01/09/2021,98
01/10/2021,74
01/11/2021,146
01/12/2021,111
01/01/2020,0
01/02/2020,0
01/03/2020,0
01/04/2020,0
01/05/2020,0
01/06/2020,0
01/07/2020,0
01/08/2020,36
01/09/2020,33
01/10/2020,56
01/11/2020,65
01/12/2020,57
